cruise_agent,cruise_job_duration,cruise_job_id,cruise_job_result,cruise_pipeline_counter,cruise_pipeline_label,cruise_stage_counter,cruise_timestamp_01_scheduled,cruise_timestamp_02_assigned,cruise_timestamp_03_preparing,cruise_timestamp_04_building,cruise_timestamp_05_completing,cruise_timestamp_06_completed
d77245350,177,11,Passed,2,3.2,1,2010-05-27T18:37:24+10:00,2010-05-27T18:37:34+10:00,2010-05-27T18:37:35+10:00,2010-05-27T18:37:38+10:00,2010-05-27T18:40:35+10:00,2010-05-27T18:40:35+10:00
d77245350,199,37,Failed,3,3.3,1,2010-05-27T20:12:56+10:00,2010-05-27T20:13:06+10:00,2010-05-27T20:13:06+10:00,2010-05-27T20:13:10+10:00,2010-05-27T20:16:29+10:00,2010-05-27T20:16:29+10:00
d77245350,184,40,Passed,4,3.4,1,2010-05-27T20:46:59+10:00,2010-05-27T20:47:09+10:00,2010-05-27T20:47:09+10:00,2010-05-27T20:47:13+10:00,2010-05-27T20:50:17+10:00,2010-05-27T20:50:17+10:00
d77245350,168,49,Passed,5,3.5,2,2010-05-28T10:05:08+10:00,2010-05-28T10:05:14+10:00,2010-05-28T10:05:14+10:00,2010-05-28T10:05:17+10:00,2010-05-28T10:08:06+10:00,2010-05-28T10:08:06+10:00
d77245350,195,57,Passed,6,3.6,1,2010-05-28T13:50:44+10:00,2010-05-28T13:50:54+10:00,2010-05-28T13:50:54+10:00,2010-05-28T13:50:58+10:00,2010-05-28T13:54:13+10:00,2010-05-28T13:54:13+10:00
d77245350,205,72,Passed,7,3.7,1,2010-05-31T09:39:44+10:00,2010-05-31T09:39:54+10:00,2010-05-31T09:39:54+10:00,2010-05-31T09:39:58+10:00,2010-05-31T09:43:23+10:00,2010-05-31T09:43:23+10:00
d77245350,171,77,Passed,8,3.8,1,2010-05-31T11:03:04+10:00,2010-05-31T11:03:14+10:00,2010-05-31T11:03:14+10:00,2010-05-31T11:03:18+10:00,2010-05-31T11:06:09+10:00,2010-05-31T11:06:09+10:00
d77245350,210,84,Passed,9,3.9,1,2010-05-31T14:18:49+10:00,2010-05-31T14:18:59+10:00,2010-05-31T14:19:00+10:00,2010-05-31T14:19:03+10:00,2010-05-31T14:22:33+10:00,2010-05-31T14:22:33+10:00
d77245350,168,89,Passed,10,3.10,1,2010-05-31T15:04:48+10:00,2010-05-31T15:04:58+10:00,2010-05-31T15:04:58+10:00,2010-05-31T15:05:02+10:00,2010-05-31T15:07:51+10:00,2010-05-31T15:07:51+10:00
d77245350,172,94,Passed,11,3.11,1,2010-05-31T16:38:58+10:00,2010-05-31T16:39:08+10:00,2010-05-31T16:39:08+10:00,2010-05-31T16:39:12+10:00,2010-05-31T16:42:04+10:00,2010-05-31T16:42:04+10:00
