cruise_agent,cruise_job_duration,cruise_job_id,cruise_job_result,cruise_pipeline_counter,cruise_pipeline_label,cruise_stage_counter,cruise_timestamp_01_scheduled,cruise_timestamp_02_assigned,cruise_timestamp_03_preparing,cruise_timestamp_04_building,cruise_timestamp_05_completing,cruise_timestamp_06_completed
d77245350,168,12,Passed,2,3.2,1,2010-05-27T18:40:35+10:00,2010-05-27T18:40:45+10:00,2010-05-27T18:40:45+10:00,2010-05-27T18:40:49+10:00,2010-05-27T18:43:20+10:00,2010-05-27T18:43:37+10:00
d77245350,155,41,Passed,4,3.4,1,2010-05-27T20:50:17+10:00,2010-05-27T20:50:27+10:00,2010-05-27T20:50:27+10:00,2010-05-27T20:50:31+10:00,2010-05-27T20:52:45+10:00,2010-05-27T20:53:06+10:00
d77245350,152,50,Passed,5,3.5,1,2010-05-28T10:08:06+10:00,2010-05-28T10:08:16+10:00,2010-05-28T10:08:16+10:00,2010-05-28T10:08:20+10:00,2010-05-28T10:10:32+10:00,2010-05-28T10:10:52+10:00
d77245350,163,58,Passed,6,3.6,1,2010-05-28T13:54:13+10:00,2010-05-28T13:54:23+10:00,2010-05-28T13:54:23+10:00,2010-05-28T13:54:27+10:00,2010-05-28T13:56:50+10:00,2010-05-28T13:57:11+10:00
d77245350,145,73,Passed,7,3.7,1,2010-05-31T09:43:23+10:00,2010-05-31T09:43:33+10:00,2010-05-31T09:43:33+10:00,2010-05-31T09:43:37+10:00,2010-05-31T09:45:44+10:00,2010-05-31T09:46:02+10:00
d77245350,140,78,Passed,8,3.8,1,2010-05-31T11:06:09+10:00,2010-05-31T11:06:19+10:00,2010-05-31T11:06:19+10:00,2010-05-31T11:06:22+10:00,2010-05-31T11:08:25+10:00,2010-05-31T11:08:42+10:00
d77245350,146,85,Passed,9,3.9,1,2010-05-31T14:22:33+10:00,2010-05-31T14:22:43+10:00,2010-05-31T14:22:43+10:00,2010-05-31T14:22:47+10:00,2010-05-31T14:24:55+10:00,2010-05-31T14:25:13+10:00
d77245350,142,90,Passed,10,3.10,1,2010-05-31T15:07:51+10:00,2010-05-31T15:08:01+10:00,2010-05-31T15:08:01+10:00,2010-05-31T15:08:04+10:00,2010-05-31T15:10:08+10:00,2010-05-31T15:10:26+10:00
d77245350,143,95,Passed,11,3.11,1,2010-05-31T16:42:04+10:00,2010-05-31T16:42:14+10:00,2010-05-31T16:42:14+10:00,2010-05-31T16:42:18+10:00,2010-05-31T16:44:26+10:00,2010-05-31T16:44:41+10:00
d77245350,145,101,Passed,12,3.12,1,2010-05-31T18:58:41+10:00,2010-05-31T18:58:51+10:00,2010-05-31T18:58:51+10:00,2010-05-31T18:58:54+10:00,2010-05-31T19:01:04+10:00,2010-05-31T19:01:19+10:00
d77245350,138,106,Passed,13,3.13,1,2010-06-01T10:10:21+10:00,2010-06-01T10:10:31+10:00,2010-06-01T10:10:31+10:00,2010-06-01T10:10:35+10:00,2010-06-01T10:12:37+10:00,2010-06-01T10:12:53+10:00
d77245350,149,113,Passed,15,3.15,1,2010-06-01T13:31:19+10:00,2010-06-01T13:31:29+10:00,2010-06-01T13:31:29+10:00,2010-06-01T13:31:33+10:00,2010-06-01T13:33:42+10:00,2010-06-01T13:34:02+10:00
d77245350,139,119,Passed,16,3.16,1,2010-06-01T20:11:42+10:00,2010-06-01T20:11:52+10:00,2010-06-01T20:11:52+10:00,2010-06-01T20:11:55+10:00,2010-06-01T20:13:57+10:00,2010-06-01T20:14:14+10:00
d77245350,137,128,Passed,18,3.18,1,2010-06-01T23:52:15+10:00,2010-06-01T23:52:25+10:00,2010-06-01T23:52:25+10:00,2010-06-01T23:52:29+10:00,2010-06-01T23:54:29+10:00,2010-06-01T23:54:47+10:00
d77245350,144,133,Passed,19,3.19,1,2010-06-02T00:52:11+10:00,2010-06-02T00:52:21+10:00,2010-06-02T00:52:21+10:00,2010-06-02T00:52:25+10:00,2010-06-02T00:54:33+10:00,2010-06-02T00:54:49+10:00
d77245350,140,140,Passed,20,3.20,1,2010-06-02T10:48:08+10:00,2010-06-02T10:48:18+10:00,2010-06-02T10:48:18+10:00,2010-06-02T10:48:21+10:00,2010-06-02T10:50:25+10:00,2010-06-02T10:50:41+10:00
