cruise_agent,cruise_job_duration,cruise_job_id,cruise_job_result,cruise_pipeline_counter,cruise_pipeline_label,cruise_stage_counter,cruise_timestamp_01_scheduled,cruise_timestamp_06_completed,cruise_timestamp_02_assigned,cruise_timestamp_03_preparing,cruise_timestamp_04_building,cruise_timestamp_05_completing,tests_failed_count,tests_ignored_count,tests_total_count,tests_total_duration
d77245350,25,10,Passed,2,3.2,1,2010-05-27T18:36:45+10:00,2010-05-27T18:37:24+10:00,2010-05-27T18:36:55+10:00,2010-05-27T18:36:55+10:00,2010-05-27T18:36:59+10:00,2010-05-27T18:37:23+10:00,0,0,542,8.392
d77245350,31,36,Passed,3,3.3,1,2010-05-27T20:12:12+10:00,2010-05-27T20:12:56+10:00,2010-05-27T20:12:22+10:00,2010-05-27T20:12:22+10:00,2010-05-27T20:12:25+10:00,2010-05-27T20:12:55+10:00,0,0,542,9.862
d77245350,31,39,Passed,4,3.4,1,2010-05-27T20:46:15+10:00,2010-05-27T20:46:59+10:00,2010-05-27T20:46:25+10:00,2010-05-27T20:46:25+10:00,2010-05-27T20:46:28+10:00,2010-05-27T20:46:58+10:00,0,0,542,11.088
d77245350,29,47,Passed,5,3.5,1,2010-05-28T10:00:27+10:00,2010-05-28T10:01:09+10:00,2010-05-28T10:00:37+10:00,2010-05-28T10:00:37+10:00,2010-05-28T10:00:40+10:00,2010-05-28T10:01:08+10:00,0,0,542,9.522
d77245350,32,56,Passed,6,3.6,1,2010-05-28T13:49:58+10:00,2010-05-28T13:50:44+10:00,2010-05-28T13:50:08+10:00,2010-05-28T13:50:09+10:00,2010-05-28T13:50:12+10:00,2010-05-28T13:50:41+10:00,0,0,542,9.050
d77245350,33,71,Passed,7,3.7,1,2010-05-31T09:38:58+10:00,2010-05-31T09:39:44+10:00,2010-05-31T09:39:08+10:00,2010-05-31T09:39:08+10:00,2010-05-31T09:39:11+10:00,2010-05-31T09:39:40+10:00,0,0,542,9.982
d77245350,28,76,Passed,8,3.8,1,2010-05-31T11:02:22+10:00,2010-05-31T11:03:04+10:00,2010-05-31T11:02:32+10:00,2010-05-31T11:02:32+10:00,2010-05-31T11:02:36+10:00,2010-05-31T11:03:03+10:00,0,0,542,9.542
d77245350,37,83,Passed,9,3.9,1,2010-05-31T14:17:59+10:00,2010-05-31T14:18:49+10:00,2010-05-31T14:18:09+10:00,2010-05-31T14:18:09+10:00,2010-05-31T14:18:12+10:00,2010-05-31T14:18:41+10:00,0,0,542,10.600
d77245350,25,88,Passed,10,3.10,1,2010-05-31T15:04:10+10:00,2010-05-31T15:04:48+10:00,2010-05-31T15:04:20+10:00,2010-05-31T15:04:20+10:00,2010-05-31T15:04:23+10:00,2010-05-31T15:04:47+10:00,0,0,542,8.020
d77245350,25,93,Passed,11,3.11,1,2010-05-31T16:38:20+10:00,2010-05-31T16:38:58+10:00,2010-05-31T16:38:30+10:00,2010-05-31T16:38:30+10:00,2010-05-31T16:38:33+10:00,2010-05-31T16:38:57+10:00,0,0,542,8.004
d77245350,30,99,Passed,12,3.12,1,2010-05-31T18:54:32+10:00,2010-05-31T18:55:16+10:00,2010-05-31T18:54:42+10:00,2010-05-31T18:54:42+10:00,2010-05-31T18:54:46+10:00,2010-05-31T18:55:13+10:00,0,0,542,8.738
d77245350,25,104,Passed,13,3.13,1,2010-06-01T10:06:28+10:00,2010-06-01T10:07:06+10:00,2010-06-01T10:06:38+10:00,2010-06-01T10:06:38+10:00,2010-06-01T10:06:41+10:00,2010-06-01T10:07:05+10:00,0,0,542,9.250
d77245350,32,111,Passed,15,3.15,1,2010-06-01T13:26:51+10:00,2010-06-01T13:27:37+10:00,2010-06-01T13:27:01+10:00,2010-06-01T13:27:01+10:00,2010-06-01T13:27:05+10:00,2010-06-01T13:27:33+10:00,0,0,542,10.300
d77245350,29,116,Passed,16,3.16,1,2010-06-01T18:39:21+10:00,2010-06-01T18:40:04+10:00,2010-06-01T18:39:31+10:00,2010-06-01T18:39:31+10:00,2010-06-01T18:39:35+10:00,2010-06-01T18:40:03+10:00,0,0,542,8.848
d77245350,27,122,Passed,17,3.17,1,2010-06-01T23:22:18+10:00,2010-06-01T23:23:02+10:00,2010-06-01T23:22:28+10:00,2010-06-01T23:22:28+10:00,2010-06-01T23:22:35+10:00,2010-06-01T23:23:00+10:00,0,0,542,9.110
