cruise_agent,cruise_job_duration,cruise_job_id,cruise_job_result,cruise_pipeline_counter,cruise_pipeline_label,cruise_stage_counter,cruise_timestamp_01_scheduled,cruise_timestamp_02_assigned,cruise_timestamp_03_preparing,cruise_timestamp_04_building,cruise_timestamp_05_completing,cruise_timestamp_06_completed
d77245350,12,1,Passed,1,2.1,1,2010-05-27T18:34:54+10:00,2010-05-27T18:35:06+10:00,2010-05-27T18:35:06+10:00,2010-05-27T18:35:10+10:00,2010-05-27T18:35:22+10:00,2010-05-27T18:35:22+10:00
d77245350,13,9,Passed,2,3.2,1,2010-05-27T18:36:19+10:00,2010-05-27T18:36:29+10:00,2010-05-27T18:36:29+10:00,2010-05-27T18:36:32+10:00,2010-05-27T18:36:45+10:00,2010-05-27T18:36:45+10:00
d77245350,23,35,Passed,3,3.3,1,2010-05-27T20:10:52+10:00,2010-05-27T20:11:13+10:00,2010-05-27T20:11:13+10:00,2010-05-27T20:11:49+10:00,2010-05-27T20:12:12+10:00,2010-05-27T20:12:12+10:00
d77245350,11,38,Passed,4,3.4,1,2010-05-27T20:45:51+10:00,2010-05-27T20:45:59+10:00,2010-05-27T20:45:59+10:00,2010-05-27T20:46:03+10:00,2010-05-27T20:46:15+10:00,2010-05-27T20:46:15+10:00
d77245350,13,46,Passed,5,3.5,1,2010-05-28T09:59:54+10:00,2010-05-28T10:00:05+10:00,2010-05-28T10:00:05+10:00,2010-05-28T10:00:14+10:00,2010-05-28T10:00:27+10:00,2010-05-28T10:00:27+10:00
d77245350,27,55,Passed,6,3.6,1,2010-05-28T13:48:55+10:00,2010-05-28T13:49:05+10:00,2010-05-28T13:49:05+10:00,2010-05-28T13:49:31+10:00,2010-05-28T13:49:58+10:00,2010-05-28T13:49:58+10:00
d77245350,25,70,Passed,7,3.7,1,2010-05-31T09:37:56+10:00,2010-05-31T09:38:02+10:00,2010-05-31T09:38:02+10:00,2010-05-31T09:38:33+10:00,2010-05-31T09:38:58+10:00,2010-05-31T09:38:58+10:00
d77245350,14,75,Passed,8,3.8,1,2010-05-31T11:01:56+10:00,2010-05-31T11:02:01+10:00,2010-05-31T11:02:01+10:00,2010-05-31T11:02:08+10:00,2010-05-31T11:02:22+10:00,2010-05-31T11:02:22+10:00
d77245350,24,82,Passed,9,3.9,1,2010-05-31T14:16:58+10:00,2010-05-31T14:17:05+10:00,2010-05-31T14:17:05+10:00,2010-05-31T14:17:35+10:00,2010-05-31T14:17:59+10:00,2010-05-31T14:17:59+10:00
d77245350,12,87,Passed,10,3.10,1,2010-05-31T14:54:58+10:00,2010-05-31T15:03:51+10:00,2010-05-31T15:03:51+10:00,2010-05-31T15:03:57+10:00,2010-05-31T15:04:10+10:00,2010-05-31T15:04:10+10:00
d77245350,11,92,Passed,11,3.11,1,2010-05-31T16:37:58+10:00,2010-05-31T16:38:04+10:00,2010-05-31T16:38:04+10:00,2010-05-31T16:38:08+10:00,2010-05-31T16:38:20+10:00,2010-05-31T16:38:20+10:00
d77245350,12,98,Passed,12,3.12,1,2010-05-31T18:53:57+10:00,2010-05-31T18:54:07+10:00,2010-05-31T18:54:07+10:00,2010-05-31T18:54:20+10:00,2010-05-31T18:54:32+10:00,2010-05-31T18:54:32+10:00
d77245350,12,103,Passed,13,3.13,1,2010-06-01T10:05:57+10:00,2010-06-01T10:06:11+10:00,2010-06-01T10:06:11+10:00,2010-06-01T10:06:16+10:00,2010-06-01T10:06:28+10:00,2010-06-01T10:06:28+10:00
d77245350,27,109,Failed,14,3.14,1,2010-06-01T13:24:58+10:00,2010-06-01T13:25:00+10:00,2010-06-01T13:25:00+10:00,2010-06-01T13:25:29+10:00,2010-06-01T13:25:55+10:00,2010-06-01T13:25:56+10:00
d77245350,12,110,Passed,15,3.15,1,2010-06-01T13:26:31+10:00,2010-06-01T13:26:36+10:00,2010-06-01T13:26:36+10:00,2010-06-01T13:26:39+10:00,2010-06-01T13:26:51+10:00,2010-06-01T13:26:51+10:00
